Calculating fractal dimension every 10000 walks
Walks : 0 fractal dimension : -0.04545454545454548
Walks : 10000 fractal dimension : 1.2093971269840855
Walks : 20000 fractal dimension : 1.3208656470770073
Walks : 30000 fractal dimension : 1.393112623054632
Walks : 40000 fractal dimension : 1.4205054623021016
Walks : 50000 fractal dimension : 1.4520153819736852
Walks : 60000 fractal dimension : 1.4833839579800967
Walks : 70000 fractal dimension : 1.5121154178253184
Walks : 80000 fractal dimension : 1.5351425350211019
Walks : 90000 fractal dimension : 1.5486025428029058
Walks : 100000 fractal dimension : 1.5673945906443265
Walks : 110000 fractal dimension : 1.5849287058692691
Walks : 120000 fractal dimension : 1.601637872389584
Walks : 130000 fractal dimension : 1.6159015152263467
Walks : 140000 fractal dimension : 1.6295701385678643
Walks : 150000 fractal dimension : 1.5919306832877318
Walks : 160000 fractal dimension : 1.5989947682783718
Walks : 170000 fractal dimension : 1.6097087657346907
Walks : 180000 fractal dimension : 1.6204148678654033
Walks : 190000 fractal dimension : 1.6246053242519767
Walks : 200000 fractal dimension : 1.631756142170385
Walks : 210000 fractal dimension : 1.639784928544869
Walks : 220000 fractal dimension : 1.64764420841047
Walks : 230000 fractal dimension : 1.6542508851177233
Walks : 240000 fractal dimension : 1.66112337839717
Walks : 250000 fractal dimension : 1.6678491700103981
Walks : 260000 fractal dimension : 1.674226502432372
Walks : 270000 fractal dimension : 1.6804399139072375
Walks : 280000 fractal dimension : 1.6867731150103156
Walks : 290000 fractal dimension : 1.6847131849009136
Walks : 300000 fractal dimension : 1.685947594385835
Walks : 310000 fractal dimension : 1.6834010355268274
Walks : 320000 fractal dimension : 1.6874186586693645
Walks : 330000 fractal dimension : 1.69275305967399
Walks : 340000 fractal dimension : 1.696984829359169
Walks : 350000 fractal dimension : 1.7005303225182695
Walks : 360000 fractal dimension : 1.7020053040171739
Walks : 370000 fractal dimension : 1.7065087750536887
Walks : 380000 fractal dimension : 1.7110685603774793
Walks : 390000 fractal dimension : 1.7148580679100234
Walks : 400000 fractal dimension : 1.718945380935898
Walks : 410000 fractal dimension : 1.7227473087159504
Walks : 420000 fractal dimension : 1.7258948369467608
Walks : 430000 fractal dimension : 1.7294446104661307
Walks : 440000 fractal dimension : 1.7328783977413749
Walks : 450000 fractal dimension : 1.735847339216161
Walks : 460000 fractal dimension : 1.7380785868938473
Walks : 470000 fractal dimension : 1.740969612262019
Walks : 480000 fractal dimension : 1.7430604499911702
Walks : 490000 fractal dimension : 1.7462045807689777
