Launching sim...
Parsing cmd line arguments
Calculating fractal dimension every 1000 walks

Walk #, Fractal Dimension, Average Speed
0,0.1509967315857892,0.6660533905932738
1000,0.8548795528389562,0.06541633322981494
2000,0.978672686153403,0.05081759394239423
3000,1.0520861265852517,0.04230565555027908
4000,1.1049496336203926,0.036635573970066226
5000,1.1490131316954308,0.035031994825026135
6000,1.1810486885124492,0.031472407398392827
7000,1.2121478086089759,0.028534065266683572
8000,1.237538585388706,0.027479676885699363
9000,1.2600434805973053,0.025019009233595405
10000,1.2797730450771718,0.023741200081068545
11000,1.2896842854341706,0.02217565981868225
12000,1.3027865356920123,0.020852857657167594
13000,1.3166377505482103,0.019400127317016954
14000,1.3319124526632535,0.01797889196459939
15000,1.3442426136564936,0.016645707899690308
16000,1.3562222573377634,0.016087505306974056
17000,1.3687955858382617,0.014618777516336832
18000,1.3799310087486136,0.0139373189892257
19000,1.3900825824314986,0.013468876191235279
20000,1.400957383180899,0.012857927433492733
21000,1.4100665766907134,0.012452612850532176
22000,1.418752992477408,0.011673448105936639
23000,1.4274171327322054,0.010503121579788043
24000,1.4362092094969867,0.01080218547122476
25000,1.442738702517729,0.010478742540803878
26000,1.4499076658145258,0.009906875629595023
27000,1.457213065003318,0.009610909170576692
28000,1.4638572852356182,0.009397539201391839
29000,1.4714986244958015,0.00899104173677264
30000,1.4772791579389286,0.008571863602765907
31000,1.4831724741542494,0.00831950038410773
32000,1.4895920629173285,0.00832705973750015
33000,1.4960428582007963,0.007999919568748761
34000,1.5017371438334535,0.007655124686588783
35000,1.5074421157332758,0.007467323526876917
36000,1.511871955909179,0.007322726150915556
37000,1.5173923566118346,0.0071573099792638815
38000,1.522770454270731,0.006955049790071351
39000,1.52799304120782,0.006774666074403998
40000,1.5260716316008551,0.006490451975491356
41000,1.5165154609511007,0.006270185221090533
42000,1.5148564722328441,0.006218669980878208
43000,1.5159384427571494,0.006193199607989149
44000,1.520332729512331,0.005799291488216976
45000,1.52209666497713,0.0056540275587509915
46000,1.5260241977369657,0.005549609747961813
47000,1.5302689347523506,0.005588339753120594
48000,1.534637530684593,0.0054845474472398304
49000,1.5384912508141417,0.005348227995752773
50000,1.5426164667884121,0.005248980154145576
51000,1.5468169062196933,0.005075401408329598
52000,1.5502253446298775,0.004979839702995034
53000,1.5538487197755746,0.004911787274430783
54000,1.5568455992511936,0.0047470446733466065
55000,1.559769642392855,0.004753519109241341
56000,1.562706960296858,0.004693092475526443
57000,1.5661460397062879,0.00454977656832406
58000,1.5690708752543032,0.004462272696830576
59000,1.5723837632988593,0.0044202376956535665
60000,1.5757823619627722,0.004128581696146128
61000,1.578362042400963,0.004186856408045729
62000,1.5817358323894046,0.004179720530192026
63000,1.5848872191735963,0.004110341865437626
64000,1.5877224952055873,0.004040754791109674
65000,1.590790866736824,0.003982289593476504
66000,1.5937802400662453,0.003882265582670549
67000,1.5969840989230732,0.0038215053949211993
68000,1.599682970749013,0.0037825645594498874
69000,1.6026758419143747,0.0036376355071707908
70000,1.6055011222500786,0.0036405977240710177
71000,1.6083849674447703,0.0036682211608666895
72000,1.6109993541186094,0.003578546684092726
73000,1.6136515071127495,0.003526056559865622
74000,1.6166672807000442,0.003475764629154363
75000,1.6190929288963607,0.0034157004876189364
76000,1.6217101439808934,0.0033975707473058205
77000,1.6243060804438774,0.003328173570870815
78000,1.62681808320469,0.003264197666007188
79000,1.6293547096557068,0.003124349321482154
80000,1.6317762559040554,0.003208691821176488
81000,1.6344072274296513,0.0031643498270958153
82000,1.636806471128253,0.002994066853849618
83000,1.6390714428503497,0.0029996137300082725
84000,1.6413826429374268,0.0030545380000805106
85000,1.6438366576945054,0.0030145596947053067
86000,1.64616898035145,0.0029737334122330824
87000,1.645409192484688,0.002910996282990036
88000,1.6463915757565244,0.0028774747190890527
89000,1.6486071620105973,0.0028882405674143822
90000,1.6507666643446874,0.0028156933603844638
91000,1.6523884118558847,0.0028080219615221956
92000,1.6544927658892328,0.002763953785819664
93000,1.6563406714482138,0.002724630334656558
94000,1.6586113936001747,0.0027038468483472212
95000,1.6605084287425191,0.0026505708459719224
96000,1.662286501142065,0.002618504264460549
97000,1.6644384283806377,0.002639305020387402
98000,1.6644301561454178,0.0025901748640154414
99000,1.6661274435662743,0.0025772042329553803
100000 random walks completed in 33191 ms
