Walk #, Fractal Dimension, Average Speed
0,0.18884687069819497,0.6660533905932738
1000,1.570701306638206,0.06541633322981494
2000,1.7706576018853242,0.05081759394239423
3000,1.6976299353800457,0.04230565555027908
4000,1.7115912969074991,0.036635573970066226
5000,1.7524088087814802,0.035031994825026135
6000,1.8144016331680957,0.031472407398392827
7000,1.8014940430753383,0.028534065266683572
8000,1.8173309659246815,0.027479676885699363
9000,1.845427495292256,0.025019009233595405
10000,1.8601724492380822,0.023741200081068545
11000,1.8323615545597096,0.02217565981868225
12000,1.8162651987226501,0.020852857657167594
13000,1.8279394843912138,0.019400127317016954
14000,1.8432035361211745,0.01797889196459939
15000,1.8526941346360133,0.016645707899690308
16000,1.8462491402663437,0.016087505306974056
17000,1.84346610802562,0.014618777516336832
18000,1.8468760161717102,0.0139373189892257
19000,1.8534177500355375,0.013468876191235279
20000,1.8603868755616308,0.012857927433492733
21000,1.874968839513121,0.012452612850532176
22000,1.8868216304617769,0.011673448105936639
23000,1.8955478703144941,0.010503121579788043
24000,1.8909358401199263,0.01080218547122476
25000,1.8637313440248502,0.010478742540803878
26000,1.8622003722033906,0.009906875629595023
27000,1.8724106600021801,0.009610909170576692
28000,1.8672860562135585,0.009397539201391839
29000,1.8686723414392368,0.00899104173677264
30000,1.8785917006755017,0.008571863602765907
31000,1.8716014974412316,0.00831950038410773
32000,1.8722135656747363,0.00832705973750015
33000,1.8715924186365696,0.007999919568748761
34000,1.8785435862915028,0.007655124686588783
35000,1.8860509066927258,0.007467323526876917
36000,1.8891676254455492,0.007322726150915556
37000,1.8941216839390356,0.0071573099792638815
38000,1.894991113531729,0.006955049790071351
39000,1.8890186859023201,0.006774666074403998
40000,1.8874162634603018,0.006490451975491356
41000,1.8801826176265761,0.006270185221090533
42000,1.8778673163463466,0.006218669980878208
43000,1.8811953430729826,0.006193199607989149
44000,1.876584778018571,0.005799291488216976
45000,1.8790357322866447,0.0056540275587509915
46000,1.8855586853624733,0.005549609747961813
47000,1.8834530137227263,0.005588339753120594
48000,1.882020940342508,0.0054845474472398304
49000,1.8867749750902447,0.005348227995752773
50000,1.8870535043374408,0.005248980154145576
51000,1.8836102395891208,0.005075401408329598
52000,1.8834434999606453,0.004979839702995034
53000,1.8848431054525476,0.004911787274430783
54000,1.8824058655056533,0.0047470446733466065
55000,1.8850328817715822,0.004753519109241341
56000,1.8880893780163002,0.004693092475526443
57000,1.889529404073486,0.00454977656832406
58000,1.890591380385605,0.004462272696830576
59000,1.8929861154524688,0.0044202376956535665
60000,1.8931313125431948,0.004128581696146128
61000,1.880955704877348,0.004186856408045729
62000,1.8797899670684934,0.004179720530192026
63000,1.8808873126713272,0.004110341865437626
64000,1.8826196571160094,0.004040754791109674
65000,1.8829929730238266,0.003982289593476504
66000,1.8836150068660655,0.003882265582670549
67000,1.882008004723636,0.0038215053949211993
68000,1.8832294498627749,0.0037825645594498874
69000,1.884953479005721,0.0036376355071707908
70000,1.8886121596495915,0.0036405977240710177
71000,1.8897141110834517,0.0036682211608666895
72000,1.888503671423366,0.003578546684092726
73000,1.8873416520134827,0.003526056559865622
74000,1.8865832833761205,0.003475764629154363
75000,1.8877862429029242,0.0034157004876189364
76000,1.8905217917900983,0.0033975707473058205
77000,1.8912108281714197,0.003328173570870815
78000,1.8921280595618293,0.003264197666007188
79000,1.8909767784880536,0.003124349321482154
80000,1.892592163918668,0.003208691821176488
81000,1.8934277030102094,0.0031643498270958153
82000,1.8959460543112119,0.002994066853849618
83000,1.8977413826602516,0.0029996137300082725
84000,1.9003563755067343,0.0030545380000805106
85000,1.896502971621604,0.0030145596947053067
86000,1.8991504069742546,0.0029737334122330824
87000,1.8961552490832554,0.002910996282990036
88000,1.8886244451181526,0.0028774747190890527
89000,1.8870250595356177,0.0028882405674143822
90000,1.89026181351248,0.0028156933603844638
91000,1.8831301615018956,0.0028080219615221956
92000,1.8844093374845887,0.002763953785819664
93000,1.8877968687177569,0.002724630334656558
94000,1.8848701527505183,0.0027038468483472212
95000,1.886590331436564,0.0026505708459719224
96000,1.8898142653061198,0.002618504264460549
97000,1.8921249584066628,0.002639305020387402
98000,1.8876879744697572,0.0025901748640154414
99000,1.8886143418280166,0.0025772042329553803
